sku,qty,location
BU11J01860,10,13290Daum
BU29C05875,1,13290Daum
BU04O00624,42,13290Daum
BU02P03472,68,13290Daum
BU28A05737,24,13290Daum
BU02P00302,12,13290Daum
BU02P03900,6,13290Daum
BU02P01485,6,13290Daum
BU02P02039,1,13290Daum
BU02P03037,1,13290Daum
BU02P00394,1,13290Daum
BU02P04063,1,13290Daum
BU02P02133,1,13290Daum
BU02P03166,1,13290Daum
BU02P02141,1,13290Daum
BU06C00632,336,13290Daum
FD05J00185,144,13290Daum
FD05J00643,2,13290Daum
FD05J00645,24,13290Daum
FD05J00646,24,13290Daum
FD05J00244,12,13290Daum
FD02T00032,10,13290Daum
101N72399,2,13290Daum
101N73299,15,13290Daum
FD02T00317,20,13290Daum
FD02T00317,10,13290Daum
FD02T00032,1,13290Daum
FD02T00018,24,13290Daum
FD04S00177,12,13290Daum
FD04S00178,12,13290Daum
101N72716,21,13290Daum
FD04S00168,20,13290Daum
101N64512,9,13290Daum
FD04S00179,13,13290Daum
FD19S00599,6,13290Daum
FD03W00104,8,13290Daum
FD19S01101,12,13290Daum
FD22G00788,12,13290Daum
FD06E00300,10,13290Daum
FD19S01106,12,13290Daum
FD19S01080,30,13290Daum
FD06E00300,20,13290Daum
FD19S01091,20,13290Daum
FD05J00646,24,13290Daum
FD05J00645,24,13290Daum
FD05J00543,18,13290Daum
FD05J00643,2,13290Daum
FD05J00185,156,13290Daum
FD04S00566,50,13290Daum
FD03W00084,740,13290Daum
FD03W00085,860,13290Daum
FD03W00087,1680,13290Daum
FD03W00086,2300,13290Daum
AL01N00014,4,13290Daum
AL01N00003,10,13290Daum
AL05J00049,5,13290Daum
AL05J00047,10,13290Daum
AL05J00040,3,13290Daum
AL05J00043,0,13290Daum
AL05J00039,6,13290Daum
AL05J00038,8,13290Daum
AL05J00041,7,13290Daum
AL05J00036,5,13290Daum
AL05J00030,7,13290Daum
AL05J00029,3,13290Daum
101N40039,6,13290Daum
101N70914,10,13290Daum
101N67020,12,13290Daum
FD05J00235,12,13290Daum
FD03W00063,24,13290Daum
FD02T00013,12,13290Daum
FD03W00115,12,13290Daum
101N40018,12,13290Daum
FD03W00116,20,13290Daum
101N75117,8,13290Daum
FD03W01050,27,13290Daum
FD19S01181,20,13290Daum
101N39023,120,13290Daum
FD19S00679,36,13290Daum
FD19S00681,24,13290Daum
FD02T00048,10,13290Daum
FD02T00047,12,13290Daum
FD02T00314,12,13290Daum
FD02T00129,18,13290Daum
FD02T00302,10,13290Daum
FD02T00036,40,13290Daum
FD02T00313,30,13290Daum
FD02T00319,8,13290Daum
FD02T00014,6,13290Daum
FD02T00325,5,13290Daum
FD19S01179,40,13290Daum
FD22G00788,6,13290Daum
FD05J00885,20,13290Daum
FD22G01056,24,13290Daum
FD28S01169,24,13290Daum
FD28S01173,24,13290Daum
FD22G01059,24,13290Daum
FD22G01058,24,13290Daum
FD28S01171,24,13290Daum
FD22G01057,24,13290Daum
FD28S01177,24,13290Daum
FD19S01107,20,13290Daum
FD23W00787,12,13290Daum
FD06E00300X6,500,13290Daum
FD19S00686,20,13290Daum
FD22G00790,12,13290Daum
FD19S00957,14,13290Daum
FD19S01089,13,13290Daum
FD03W00071,5,13290Daum
FD19S01091,4,13290Daum
FD22G00756,6,13290Daum
101N56512,4,13290Daum
FD05J00545,17,13290Daum
FD05J00186,16,13290Daum
FD05J00198,15,13290Daum
FD05J00197,13,13290Daum
FD19S01182,2,13290Daum
FD25M01117,50,13290Daum
FD23W00786,12,13290Daum
FD03W00068,11,13290Daum
101N64073,7,13290Daum
FD05J00200,6,13290Daum
FD05J00191,11,13290Daum
FD05J00190,10,13290Daum
BU02P00290,27,13290Daum
FD03W00084,54,13290Daum
FD02T00317,8,13290Daum
FD04S00367,50,13290Daum
FD02T00052,6,13290Daum
FD02T00323,6,13290Daum
FD02T00320,10,13290Daum
101N65094,24,13290Daum
FD03W01186,0,13290Daum
FD03W00101,0,13290Daum
BU22B05535,0,13290Daum
FD03W01025,0,13290Daum
FD05J00536,0,13290Daum
BU15M02012,0,13290Daum
BU22B05551,0,13290Daum
BU22B05530,0,13290Daum
FD04S00176,0,13290Daum
BU07S01441,0,13290Daum
FD28S01176,0,13290Daum
BU15M01981,0,13290Daum
FD06E00300X10,0,13290Daum
101N56513A,0,13290Daum
BU02P03375,0,13290Daum
FD19S01108,0,13290Daum
101N75121,0,13290Daum
FD19S01090,0,13290Daum
101N72182,0,13290Daum
AL05J00045,0,13290Daum
FD22G01055,0,13290Daum
FD02T00139,0,13290Daum
101N71727,0,13290Daum
FD06E00300X20,0,13290Daum
BU22B05561,0,13290Daum
FD19S00680,0,13290Daum
FD05J00206,0,13290Daum
FD19S00657,0,13290Daum
101N71376,0,13290Daum
BU02P03676,0,13290Daum
FD22G01054,0,13290Daum
FD03W00103X5,0,13290Daum
BU11J01758,0,13290Daum
BU15M02009,0,13290Daum
FD28S01175,0,13290Daum
FD05J00541,0,13290Daum
101N67215,0,13290Daum
BU02P01137,0,13290Daum
BU15M01982,0,13290Daum
FD02T00015,0,13290Daum
FD05J00252,0,13290Daum
FD05J00195,0,13290Daum
FD03W00079,0,13290Daum
BU15M01987,0,13290Daum
FD25M01116,0,13290Daum
101N71283,0,13290Daum
BU02P03905,0,13290Daum
FD19S00658,0,13290Daum
FD03W00112,0,13290Daum
BU05K02313,0,13290Daum
BU05K04570,0,13290Daum
BU00M01580,0,13290Daum
BU02P01496,0,13290Daum
test02,0,13290Daum
FD22G00754,0,13290Daum
101N71377,0,13290Daum
FD04S00174,0,13290Daum
101N75116,0,13290Daum
BU22B05592,0,13290Daum
FD19S00963,0,13290Daum
BU15M01890,0,13290Daum
BU15M01977,0,13290Daum
FD28S01170,0,13290Daum
FD06E00300X30,0,13290Daum
FD19S00699,0,13290Daum
BU22B05532,0,13290Daum
101N64386,0,13290Daum
FD03W00105,0,13290Daum
BU22B05538,0,13290Daum
BU22B05533,0,13290Daum
BU05K01812,0,13290Daum
FD28S01174,0,13290Daum
FD03W00114,0,13290Daum
BU02P02022,0,13290Daum
FD28S01172,0,13290Daum
BU22B05539,0,13290Daum
BU05K02942,0,13290Daum
FD05J00255,0,13290Daum
test,0,13290Daum
101N75119,0,13290Daum
FD05J00247,0,13290Daum
FD05J00214,0,13290Daum
AL05J00027,0,13290Daum
101N40041,0,13290Daum
FD21W00917,0,13290Daum
BU02P01777,0,13290Daum
FD02T00306,0,13290Daum
BU02P04022,0,13290Daum
